source,model,period,n_test,RMSE,MAE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_ref
M1_Flat,M1_Flat_Ridge,full,257,4.256348943170461,3.090131492098012,-0.02518537944167276,0.4980544747081712,0.529925630459628,
M1_Flat,M1_Flat_Ridge,early(<2023-01-01),102,5.336386678655675,3.90798853829971,-0.02846315274377842,0.47058823529411764,0.6483815388593855,
M1_Flat,M1_Flat_Ridge,late(>=2023-01-01),155,3.3613417077378873,2.551928790726572,-0.019817334074873738,0.5161290322580645,0.28023163224133074,
M1_Flat,M1_Flat_XGB,full,257,4.3684287377735025,3.265141454047667,-0.0521809496573693,0.5525291828793775,0.10443229245179575,0.8793629448460049
M1_Flat,M1_Flat_XGB,early(<2023-01-01),102,5.422545873857118,4.1363182125243,-0.04506831328980265,0.46078431372549017,0.2245699828728629,0.694163088008527
M1_Flat,M1_Flat_XGB,late(>=2023-01-01),155,3.5059085737796267,2.6918509420178824,-0.06367833029041914,0.6129032258064516,0.11020932767630454,0.9323894994000732
M2_Flat,M2_Flat_Ridge,full,257,4.41358877234218,3.2009662537932746,-0.06305820802904849,0.5058365758754864,0.51605820697396,0.9560576300691851
M2_Flat,M2_Flat_Ridge,early(<2023-01-01),102,5.52761681414554,3.959106941317087,-0.06531826836577315,0.5098039215686274,0.4588425526679394,0.8643099636915204
M2_Flat,M2_Flat_Ridge,late(>=2023-01-01),155,3.4916822492475847,2.702060769100185,-0.05936212157990539,0.5032258064516129,0.6740364802585561,0.9710230666484881
M2_Flat,M2_Flat_XGB,full,257,4.440163806219408,3.274799342815578,-0.06945907801242135,0.4785992217898833,0.5061188539359439,0.9762467102739395
M2_Flat,M2_Flat_XGB,early(<2023-01-01),102,5.557765432900851,4.132823623809774,-0.07112870628249612,0.4215686274509804,0.6740146694629067,0.9281138989361972
M2_Flat,M2_Flat_XGB,late(>=2023-01-01),155,3.5159689757600185,2.7101640095161708,-0.0667306151276752,0.5161290322580645,0.16667690917891642,0.9114576412969675
M3_Flat,M3_Flat_Ridge,full,257,4.430243432157846,3.2083963253891428,-0.06706965398203879,0.49416342412451364,0.4896897663044072,0.8417522184417364
M3_Flat,M3_Flat_Ridge,early(<2023-01-01),102,5.563114332074653,3.972457342188184,-0.07215958092469554,0.49019607843137253,0.4802469739925961,0.7457153868962769
M3_Flat,M3_Flat_Ridge,late(>=2023-01-01),155,3.489554020681805,2.705594882076225,-0.0587164257325421,0.4967741935483871,0.5323961479458419,0.9599420399204281
M3_Flat,M3_Flat_XGB,full,257,4.429198134964165,3.268400521513707,-0.06681788341189954,0.5175097276264592,0.29486260028647127,0.9338126439276268
M3_Flat,M3_Flat_XGB,early(<2023-01-01),102,5.535122771076408,4.108702811319309,-0.06676486521010516,0.5098039215686274,0.4474489035330361,0.8336986002779858
M3_Flat,M3_Flat_XGB,late(>=2023-01-01),155,3.5165415793152954,2.715427401770666,-0.06690434070573215,0.5225806451612903,0.21800068618608126,0.9153927591580275
M4_Flat,M4_Flat_Ridge,full,257,4.525221586556122,3.3273489567697316,-0.08994611842504496,0.48638132295719844,0.4631195147230429,0.9411503971970934
M4_Flat,M4_Flat_Ridge,early(<2023-01-01),102,5.672769542512429,4.150328640571391,-0.09329304636352842,0.46078431372549017,0.40234961689079607,0.840577324245086
