config,seed,epochs,source,RMSE,skill_vs_M0,DirAcc,n_test,lookback,d,gat,tcn,rs_kind,lr,wd,dropout
m1_deep,1,80,s1s2s4,4.191267891889647,-0.0095099394947577,0.5447470817120622,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m1_deep,2,80,s1s2s4,4.139231901405992,0.0030234635135193,0.5058365758754864,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m1_deep,42,80,baseline,4.249855085312962,-0.0236212670485,0.4941634241245136,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_concat,1,80,s1s2s4,4.252176326589042,-0.024180361861958,0.4513618677042801,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_concat,2,80,s1s2s4,4.190664121016718,-0.0093645150759134,0.5252918287937743,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_concat,42,80,fusion_matrix,4.235220065066293,-0.0200962720386825,0.5291828793774319,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_gated,1,80,s1s2s4,4.233222031447619,-0.019615025110659,0.4474708171206226,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_gated,2,80,s1s2s4,4.3620861607969985,-0.0506532748188839,0.4630350194552529,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_gated,42,80,fusion_matrix,4.252788421445625,-0.0243277911977992,0.4747081712062256,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_xattn,1,80,s1s2s4,4.17263929180204,-0.0050230497438774,0.5175097276264592,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_xattn,2,80,s1s2s4,4.33144059263356,-0.0432719748255523,0.4085603112840467,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m2_deep_xattn,42,80,fusion_matrix,4.3956465858241245,-0.0587366480396964,0.4552529182879377,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_concat,1,80,m3fusion,4.178306676902151,-0.0063880976809416,0.5019455252918288,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_concat,2,80,m3fusion,4.14897577359892,0.0006765517718571,0.5136186770428015,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_concat,42,80,m3fusion,4.161109359587843,-0.0022459470932796,0.5136186770428015,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_gated,1,80,m3gated80,4.209675539201984,-0.0139436104992947,0.4824902723735408,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_gated,2,80,m3gated80,4.163788508221195,-0.0028912475714444,0.4669260700389105,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_gated,42,80,fusion_matrix,4.145610653311856,0.0014870755715791,0.5369649805447471,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_xattn,1,80,m3fusion,4.271144323720157,-0.0287489988782703,0.4474708171206226,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_xattn,2,80,m3fusion,4.448418583080136,-0.0714473258419963,0.4552529182879377,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m3_deep_xattn,42,80,m3fusion,4.110184050769248,0.0100199368230627,0.5525291828793775,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_concat,1,80,s1s2s4,4.238697923878925,-0.0209339500707417,0.5369649805447471,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_concat,2,80,s1s2s4,4.192475505009598,-0.00980080552363,0.4980544747081712,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_concat,42,80,fusion_matrix,4.496439779857558,-0.0830137245317694,0.4513618677042801,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_gated,1,80,m4_80,4.187621159148733,-0.0086315864417931,0.490272373540856,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_gated,2,80,m4_80,4.201142010991485,-0.011888222542794,0.490272373540856,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_gated,42,80,fusion_matrix,4.180078765480421,-0.0068149234242662,0.490272373540856,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_xattn,1,80,m4_80,4.187866999047357,-0.0086907995075258,0.5291828793774319,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_xattn,2,80,m4_80,4.359908516023676,-0.0501287666986534,0.4319066147859922,257,4,32,2,2,meanpool,0.001,0.0001,0.1
m4_deep_xattn,42,80,fusion_matrix,4.143723389786455,0.0019416423844101,0.5603112840466926,257,4,32,2,2,meanpool,0.001,0.0001,0.1
